iter	Passed	Remaining
732	22396	8157
733	22423	8126
734	22453	8095
735	22482	8064
736	22514	8034
737	22542	8002
738	22574	7972
739	22604	7942
740	22635	7911
741	22664	7880
742	22693	7849
743	22721	7818
744	22749	7786
745	22775	7754
746	22801	7722
747	22827	7690
748	22852	7658
749	22878	7626
750	22903	7593
751	22937	7564
752	22966	7533
753	22995	7502
754	23024	7471
755	23088	7451
756	23163	7435
757	23197	7406
758	23231	7376
759	23263	7346
760	23291	7315
761	23316	7282
762	23344	7251
763	23370	7219
764	23394	7186
765	23418	7154
766	23444	7121
767	23469	7089
768	23496	7058
769	23522	7026
770	23548	6994
771	23572	6961
772	23598	6929
773	23623	6897
774	23647	6865
775	23672	6833
776	23696	6801
777	23721	6768
778	23748	6737
779	23775	6705
780	23803	6674
781	23831	6643
782	23860	6612
783	23889	6581
784	23918	6550
785	23951	6521
786	23981	6490
787	24010	6459
788	24041	6429
789	24072	6398
790	24099	6367
791	24125	6336
792	24153	6304
793	24178	6272
794	24204	6241
795	24230	6209
796	24256	6178
797	24284	6147
798	24310	6115
799	24339	6084
800	24369	6054
801	24399	6023
802	24429	5993
803	24461	5963
804	24490	5932
805	24523	5902
806	24553	5872
807	24581	5841
808	24613	5811
809	24645	5781
810	24674	5750
811	24708	5720
812	24736	5689
813	24762	5658
814	24790	5627
815	24816	5595
816	24842	5564
817	24887	5537
818	24918	5507
819	24950	5476
820	24983	5447
821	25014	5416
822	25048	5387
823	25083	5357
824	25117	5328
825	25155	5299
826	25193	5270
827	25227	5240
828	25259	5210
829	25290	5180
830	25318	5149
831	25346	5118
832	25373	5086
833	25399	5055
834	25426	5024
835	25450	4992
836	25475	4961
837	25500	4929
838	25529	4899
839	25552	4867
840	25576	4835
841	25601	4804
842	25625	4772
843	25648	4740
844	25672	4709
845	25696	4677
846	25722	4646
847	25747	4615
848	25772	4583
849	25797	4552
850	25825	4521
851	25851	4490
852	25879	4459
853	25906	4429
854	25939	4399
855	25967	4368
856	25996	4337
857	26025	4307
858	26054	4276
859	26084	4246
860	26112	4215
861	26139	4184
862	26166	4153
863	26191	4122
864	26217	4091
865	26241	4060
866	26266	4029
867	26292	3998
868	26320	3967
869	26345	3936
870	26380	3907
871	26415	3877
872	26448	3847
873	26487	3818
874	26523	3789
875	26560	3759
876	26594	3729
877	26635	3701
878	26670	3671
879	26707	3641
880	26738	3611
881	26770	3581
882	26803	3551
883	26833	3521
884	26866	3491
885	26892	3460
886	26921	3429
887	26950	3399
888	26978	3368
889	27006	3337
890	27043	3308
891	27076	3278
892	27106	3247
893	27139	3217
894	27170	3187
895	27199	3157
896	27228	3126
897	27255	3095
898	27283	3065
899	27310	3034
900	27338	3003
901	27366	2973
902	27394	2942
903	27425	2912
904	27465	2883
905	27496	2852
906	27526	2822
907	27557	2792
908	27588	2761
909	27618	2731
910	27646	2700
911	27678	2670
912	27709	2640
913	27735	2609
914	27762	2578
915	27786	2548
916	27813	2517
917	27839	2486
918	27870	2456
919	27897	2425
920	27928	2395
921	27977	2366
922	28011	2336
923	28042	2306
924	28073	2276
925	28106	2246
926	28138	2215
927	28167	2185
928	28196	2154
929	28224	2124
930	28252	2093
931	28281	2063
932	28311	2033
933	28348	2003
934	28379	1972
935	28408	1942
936	28438	1912
937	28470	1881
938	28501	1851
939	28537	1821
940	28571	1791
941	28610	1761
942	28662	1732
943	28702	1702
944	28736	1672
945	28766	1642
946	28794	1611
947	28821	1580
948	28847	1550
949	28873	1519
950	28898	1488
951	28926	1458
952	28950	1427
953	28974	1397
954	28998	1366
955	29022	1335
956	29046	1305
957	29069	1274
958	29094	1243
959	29120	1213
960	29145	1182
961	29170	1152
962	29194	1121
963	29220	1091
964	29243	1060
965	29270	1030
966	29295	999
967	29320	969
968	29350	938
969	29414	909
970	29476	880
971	29502	849
972	29529	819
973	29555	788
974	29580	758
975	29605	728
976	29633	697
977	29658	667
978	29683	636
979	29710	606
980	29736	575
981	29762	545
982	29787	515
983	29813	484
984	29841	454
985	29867	424
986	29894	393
987	29922	363
988	29950	333
989	29978	302
990	30006	272
991	30036	242
992	30065	211
993	30099	181
994	30129	151
995	30159	121
996	30187	90
997	30214	60
998	30239	30
999	30263	0
